Product_Name,Specifications,Price,Rating,No_of_Ratings,No_of_Reviews,Maximum_Power,Engine_Capacity,Brake_Front,Tire_Type,Console_Feature,Range,Maximum_Speed,Charging_Time,Brand,Bike_Type
Hero Splendor+ XTEC 2.0 Booking for Ex-Showroom Price,"Maximum Power: 5.9 KW (at 8000 rpm)Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubelessConsole Feature: Full Digital Meter with Bluetooth, RTMI, Eco Indicator and Host of FeaturesHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹83,311",5,54 Ratings & 20 Reviews,54 Ratings & 20 Reviews,5.9 KW (at 8000 rpm),97.2 cc,Drum,Tubeless,"Full Digital Meter with Bluetooth, RTMI, Eco Indicator and Host of FeaturesHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"VIDA V2 Plus Electric Scooter by Hero MotoCorp Booking for Ex-Showroom Price (with Portable Charger, G...","Range: 143 kmMaximum Speed: 85 kmphCharging Time: 5.15 HrTire Type: TubelessIt comes with an overall warranty of 5 years or 50,000 KMs, whichever is earlier. The battery pack comes with a warranty of 3 years or 30,000 KMs, whichever is earlier.","₹1,45,990",5,741 Ratings & 91 Reviews,741 Ratings & 91 Reviews,,,,"TubelessIt comes with an overall warranty of 5 years or 50,000 KMs, whichever is earlier. The battery pack comes with a warranty of 3 years or 30,000 KMs, whichever is earlier.",,143 km,85 kmph,5.15 Hr,Hero,Electric
"Ather Rizta S 123 KM Booking for Ex-Showroom Price (with Portable Charger, Deccan Grey Mono)","Range: 123 kmMaximum Speed: 80 kmphCharging Time: 7.45 HrsTire Type: TubelessBattery: 3 Years/ 30000 Km, Vehicle: 3 Years/ 30000 Km","₹1,19,996",4.5,10 Ratings & 3 Reviews,10 Ratings & 3 Reviews,,,,"TubelessBattery: 3 Years/ 30000 Km, Vehicle: 3 Years/ 30000 Km",,123 km,80 kmph,7.45 Hrs,Ather,Motorcycle
"Amo Electric Bikes AMO Double Light Jaunty L LA Booking for Ex-Showroom Price (with Portable Charger, ...",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹49,999",4.5,32 Ratings & 3 Reviews,32 Ratings & 3 Reviews,,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Amo Electric Bikes Single Light LI Booking for Ex-Showroom Price (with Portable Charger, Black)","Range: 70 kmMaximum Speed: 25 kmphCharging Time: 4 HrTire Type: TubelessAMO Electric Bikes products come with a standard warranty of 1 years or 10,000 km on the battery and motor, whichever comes first, along with the option to purchase an extended warranty at the time of bike delivery.","₹59,500",4.6,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessAMO Electric Bikes products come with a standard warranty of 1 years or 10,000 km on the battery and motor, whichever comes first, along with the option to purchase an extended warranty at the time of bike delivery.",,70 km,25 kmph,4 Hr,Other,Electric
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.4,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews",,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,657",4.6,"4,017 Ratings & 439 Reviews","4,017 Ratings & 439 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Ather Rizta S 159KM Booking for Ex-Showroom Price (with Portable Charger, Siachen White Mono)","Range: 159 kmMaximum Speed: 80 kmphCharging Time: 5.45 HrTire Type: TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.","₹1,44,761",4.4,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",,,,"TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.",,159 km,80 kmph,5.45 Hr,Ather,Motorcycle
Hero Destini 125 ZX Booking for Ex-Showroom Price,"Engine Capacity: 124.6 ccBrake Front: DiscTire Type: TubelessConsole Feature: Fully Digital SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹86,721",4.2,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,124.6 cc,Disc,Tubeless,"Fully Digital SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹79,097",4.6,17 Ratings & 2 Reviews,17 Ratings & 2 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,"Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Still Whi...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,761",4.5,"4,017 Ratings & 439 Reviews","4,017 Ratings & 439 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Lunar Gre...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,89,657",4.6,"5,120 Ratings & 502 Reviews","5,120 Ratings & 502 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Ather Rizta S 159KM Booking for Ex-Showroom Price (with Portable Charger, Deccan Grey Mono)","Range: 159 kmMaximum Speed: 80 kmphCharging Time: 5.45 HrTire Type: TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.","₹1,42,181",4.2,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,"TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.",,159 km,80 kmph,5.45 Hr,Ather,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range Booking for Ex-Showroom Price (with Duo Charger, Cosmic Black)",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,64,311",4.5,22 Ratings & 2 Reviews,22 Ratings & 2 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Chetak C3503 Electric Scooter by Bajaj Auto Booking for Ex-Showroom Price (with Portable Charger, Matt...","Range: 151 kmMaximum Speed: 70 kmphCharging Time: 5 hrTire Type: TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.","₹1,24,157",4.5,4 Ratings & 1 Reviews,4 Ratings & 1 Reviews,,,,"TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.",,151 km,70 kmph,5 hr,Bajaj,Electric
Hero HF Deluxe Non i3S-Self Booking for Ex-Showroom Price,"Maximum Power: 7.91Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubedConsole Feature: SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹64,923",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,7.91,97.2 cc,Drum,Tubed,"SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
