Product_Name,Specifications,Price,Rating,No_of_Ratings,No_of_Reviews,Maximum_Power,Engine_Capacity,Brake_Front,Tire_Type,Console_Feature,Range,Maximum_Speed,Charging_Time,Brand,Bike_Type
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,657",5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Chetak C3503 Electric Scooter by Bajaj Auto Booking for Ex-Showroom Price (with Portable Charger, Matt...","Range: 151 kmMaximum Speed: 70 kmphCharging Time: 5 hrTire Type: TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.","₹1,24,157",3,"1,617 Ratings & 177 Reviews","1,617 Ratings & 177 Reviews",,,,"TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.",,151 km,70 kmph,5 hr,Bajaj,Electric
Hero Xtreme 125R IBS Booking for Ex-Showroom Price,"Maximum Power: 8.5 kW @ 8250 rpmEngine Capacity: 125 ccBrake Front: DiscTire Type: TubelessConsole Feature: SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹91,000",4.6,45 Ratings & 15 Reviews,45 Ratings & 15 Reviews,8.5 kW @ 8250 rpm,125 cc,Disc,Tubeless,"SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Green Sunny 60KM Booking for Ex-Showroom Price (with Portable Charger, NeonGreen)","Range: 60 kmMaximum Speed: 25 kmphCharging Time: 4 hrTire Type: Tubeless6 Month Manufacturing Warranty for All Electric parts except Normal Wear & Tear, Charger come with 1 Month Replacement Warranty","₹30,999",3,57 Ratings & 7 Reviews,57 Ratings & 7 Reviews,,,,"Tubeless6 Month Manufacturing Warranty for All Electric parts except Normal Wear & Tear, Charger come with 1 Month Replacement Warranty",,60 km,25 kmph,4 hr,Other,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹79,097",5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,"Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Still Whi...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,761",4.5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
SUZUKI V-Strom SX Booking for Ex-Showroom Price,"Maximum Power: 26.5 PS (at 9,300 rpm)Engine Capacity: 249 ccBrake Front: DiscTire Type: TubelessConsole Feature: Bluetooth Enabled Digital Console with Turn-by-Turn NavigationSuzuki VStrom comes with 2 years/ 30,000 kms OEM warranty (whichever occurs earlier of its operation), with an additional optional extended warranty upto 10 years/ 1,25,000 kms (whichever occurs earlier of its operation). Warranty can be extended with option 2+1, 2+2, 2+3, 2+5, 2+8 years. for details of different coverage plan please refer extended warranty section on Suzuki motorcycle official website","₹2,05,070",5,31 Ratings & 6 Reviews,31 Ratings & 6 Reviews,"26.5 PS (at 9,300 rpm)",249 cc,Disc,Tubeless,"Bluetooth Enabled Digital Console with Turn-by-Turn NavigationSuzuki VStrom comes with 2 years/ 30,000 kms OEM warranty (whichever occurs earlier of its operation), with an additional optional extended warranty upto 10 years/ 1,25,000 kms (whichever occurs earlier of its operation). ",,,,Suzuki,Motorcycle
"Joy e-bike Gen Next Nanu Booking for Ex-Showroom Price (With Charger, Silver)","Range: 60 kmMaximum Speed: 25 kmphCharging Time: 5 HrTire Type: Tubeless1. Brake Switch- 3 Months, 2. MCB- 3 Months, 3. Flasher- 3 Months, 4. DC-DC Convertor- 3 Months, 5. Charger- 1 Years, 6. BLDC Motor- 1 Years, 7. Controller- 1 Years, 8. Battery- 3 Years","₹56,699",5,"1,675 Ratings & 228 Reviews","1,675 Ratings & 228 Reviews",,,,"Tubeless1. Brake Switch- 3 Months, 2. MCB- 3 Months, 3. Flasher- 3 Months, 4. DC-DC Convertor- 3 Months, 5. Charger- 1 Years, 6. BLDC Motor- 1 Years, 7. Controller- 1 Years, 8. Battery- 3 Years",,60 km,25 kmph,5 Hr,Other,Motorcycle
TVS Raider (Split Seat) Booking for Ex-Showroom Price,"Maximum Power: 11.38 PS (at 7500 RPM)Engine Capacity: 124.8 ccBrake Front: DiscTire Type: TubelessConsole Feature: Digital - Reverse LCD ScreenWhile the Company has taken every care to maintain quality in the manufacture of the TVS Raider 125, the above said warranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier- the parts of the vehicle covered under warranty which prove to the satisfaction of the Company to have a manufacturing defect will be repaired or replaced free of cost. The Company's obligation under this warranty is limited to repairing or replacing, free of cost, those parts of the vehicle which upon examination by the Company may prove to the Company's satisfaction to have a manufacturing defect, and in such cases the Company's decision either to repair or replace the affected parts will be final.","₹95,470",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",11.38 PS (at 7500 RPM),124.8 cc,Disc,Tubeless,"Digital - Reverse LCD ScreenWhile the Company has taken every care to maintain quality in the manufacture of the TVS Raider 125, the above said warranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
TVS Apache RTR 160 4V (RM Disc Black Edition) Booking for Ex-Showroom Price,"Maximum Power: 17.3 bhp (at 9250 RPM)Engine Capacity: 160 ccBrake Front: DiscTire Type: TubelessConsole Feature: Speedometer LCDDuring 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfaction of the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹1,19,890",5,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews",17.3 bhp (at 9250 RPM),160 cc,Disc,Tubeless,Speedometer LCD,,,,TVS,Motorcycle
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Deccan ...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,84,044",5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
Hero HF Deluxe Non i3S-Self Booking for Ex-Showroom Price,"Maximum Power: 7.91Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubedConsole Feature: SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹64,923",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",7.91,97.2 cc,Drum,Tubed,"SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Joy e-bike Wolf + Booking for Ex-Showroom Price (With Charger, Deep Wine)","Range: 90 kmMaximum Speed: 55 kmphCharging Time: 5 HrTire Type: Tubeless1. Brake Switch- 3 Months, 2. MCB- 3 Months, 3. Flasher- 3 Months, 4. DC-DC Convertor- 3 Months, 5. Charger- 1 Years, 6. BLDC Motor- 1 Years, 7. Controller- 1 Years, 8. Battery- 3 Years","₹74,654",4.5,194 Ratings & 29 Reviews,194 Ratings & 29 Reviews,,,,"Tubeless1. Brake Switch- 3 Months, 2. MCB- 3 Months, 3. Flasher- 3 Months, 4. DC-DC Convertor- 3 Months, 5. Charger- 1 Years, 6. BLDC Motor- 1 Years, 7. Controller- 1 Years, 8. Battery- 3 Years",,90 km,55 kmph,5 Hr,Other,Motorcycle
BAJAJ PULSAR 125 -NEON DISC LED Booking for Ex-Showroom Price,"Maximum Power: 8.68 kW (11.8 PS) @ 8500 rpmEngine Capacity: 124.38 ccBrake Front: DiscTire Type: TubelessConsole Feature: Fully Digital Reverse Monochrome LCDBajaj Auto Limited provides a 5-year or 75,000 km warranty (whichever is earlier) for the first owner, covering manufacturing defects through authorized workshops. However, proprietary parts like tyres, tubes, and batteries must be claimed directly from their respective manufacturers. Items like shock absorbers and speedometers are subject to the original manufacturer's approval, and Bajaj is not liable for consequential losses or repair delays. All legal disputes are limited to Pune jurisdiction. To keep the warranty valid, owners must complete the first three free services without lapse and subsequent paid services every 5,000 km or 120 days. All maintenance must occur at authorized centers using Bajaj DTS-i 10000 engine oil (drained every 10k km, topped up at 5k km). Owners must also replace periodic parts like filters as scheduled and present the original Owners Manual for all claims; direct factory claims are not accepted.","₹91,250",4.5,15 Ratings & 7 Reviews,15 Ratings & 7 Reviews,8.68 kW (11.8 PS) @ 8500 rpm,124.38 cc,Disc,Tubeless,"Fully Digital Reverse Monochrome LCDBajaj Auto Limited provides a 5-year or 75,000 km warranty (whichever is earlier) for the first owner, covering manufacturing defects through authorized workshops. However, proprietary parts like tyres, tubes, and batteries must be claimed directly from their respective manufacturers. Items like shock absorbers and speedometers are subject to the original manufacturer's approval, and Bajaj is not liable for consequential losses or repair delays. All legal disputes are limited to Pune jurisdiction. To keep the warranty valid, owners must complete the first three free services without lapse and subsequent paid services every 5,000 km or 120 days. All maintenance must occur at authorized centers using Bajaj DTS-i 10000 engine oil (drained every 10k km, topped up at 5k km). Owners must also replace periodic parts like filters as scheduled and present the original Owners Manual for all claims; direct factory claims are not accepted.",,,,Bajaj,Motorcycle
Hero Splendor+ i3S Booking for Ex-Showroom Price,"Maximum Power: 5.9 kW @ 8000 rpmEngine Capacity: 97.2 ccBrake Front: DrumTire Type: TubelessConsole Feature: Analogue speedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹79,073",4.5,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",5.9 kW @ 8000 rpm,97.2 cc,Drum,Tubeless,"Analogue speedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Portable Charger, Te...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.","₹1,84,545",4.6,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
ROYAL ENFIELD Goan Classic 350 Booking for Ex-Showroom Price,"Maximum Power: 20.2 BHP @ 6100 rpmEngine Capacity: 349 ccBrake Front: DiscTire Type: TubelessConsole Feature: Analogue and DigitalWarranty for any Motorcycle shall be in force until the expiry of a period of 36 months or 30,000 kilometer, whichever comes first from the date of the Sale of the motorcycle to the first owner and to any subsequent owners for the balance of the remaining period until the expiry of above mentioned warranty period. If you are traveling abroad and require warranty assistance or advice from a Royal Enfield Authorized Dealer, visit www.royalenfield.com/borderless-warranty/ for more information.","₹2,28,187",4.4,12 Ratings & 3 Reviews,12 Ratings & 3 Reviews,20.2 BHP @ 6100 rpm,349 cc,Disc,Tubeless,Analogue and Digital,,,,Royal Enfield,Motorcycle
"Green Sunny Blue 40KM Booking for Ex-Showroom Price (with Portable Charger, Blue)","Range: 40 kmMaximum Speed: 25 kmphCharging Time: 4 hrTire Type: Tubeless6 Month Manufacturing Warranty for All Electric parts except Normal Wear & Tear, Charger come with 1 Month Replacement Warranty","₹27,999",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,"Tubeless6 Month Manufacturing Warranty for All Electric parts except Normal Wear & Tear, Charger come with 1 Month Replacement Warranty",,40 km,25 kmph,4 hr,Other,Motorcycle
"VIDA VX2 Go 3.4 kWh Booking for Ex-Showroom Price (with Portable Charger, Matt Inspired White)","Range: 142 kmMaximum Speed: 70 kmphCharging Time: 4.13 HrTire Type: Tubeless5yrs/50,000 km","₹1,25,990",4.5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,"Tubeless5yrs/50,000 km",,142 km,70 kmph,4.13 Hr,VIDA,Motorcycle
"Simple One 5 kW Booking for Ex-Showroom Price (with Portable Charger, Light X)","Range: 265 kmMaximum Speed: 116 kmphCharging Time: 5.33 HrTire Type: Tubeless* Standard Warranty: 3 years/30,000 km, whichever comes first. * Extended Warranty (Battery & Motor) Options:* - Simple Protect: 5 years/50,000 km (whichever comes first) for ?5499*. This offers reliable battery and motor protection for everyday riding confidence. - Simple Super Protect: 8 years/80,000 km (whichever comes first) for ?8499*. This provides maximum coverage for long-term ownership. * Pricing Note: All mentioned prices are exclusive of GST. Terms and conditions apply.","₹1,99,999",4.5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,"Tubeless* Standard Warranty: 3 years/30,000 km, whichever comes first. * Extended Warranty (Battery & Motor) Options:* - Simple Protect: 5 years/50,000 km (whichever comes first) for ?5499*. This offers reliable battery and motor protection for everyday riding confidence. - Simple Super Protect: 8 years/80,000 km (whichever comes first) for ?8499*. This provides maximum coverage for long-term ownership. * Pricing Note: All mentioned prices are exclusive of GST. Terms and conditions apply.",,265 km,116 kmph,5.33 Hr,Other,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.6,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Pangong...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,82,550",4.6,"2,565 Ratings & 358 Reviews","2,565 Ratings & 358 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
"Ather 450 S 161 KM IDC range Booking for Ex-Showroom Price (with Portable Charger, Space Grey)","Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.","₹1,49,840",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,"TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.",,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Amo Electric Bikes AMO Feisty EV LA 12"" Booking for Ex-Showroom Price (with Portable Charger, Red)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹55,000",4.6,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,657",4.5,3 Ratings & 1 Reviews,3 Ratings & 1 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Chetak C3503 Electric Scooter by Bajaj Auto Booking for Ex-Showroom Price (with Portable Charger, Matt...","Range: 151 kmMaximum Speed: 70 kmphCharging Time: 5 hrTire Type: TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.","₹1,24,157",4.4,"2,269 Ratings & 225 Reviews","2,269 Ratings & 225 Reviews",,,,"TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.",,151 km,70 kmph,5 hr,Bajaj,Electric
"Ather 450 X 161 KM IDC range Booking for Ex-Showroom Price (with Duo Charger, Hyper Sand)",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,67,256",4.5,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"TVS iQube 3.5 kWh Booking for Ex-Showroom Price (With Charger, Titanium Grey)","Range: 145 kmMaximum Speed: 78 kmphCharging Time: 4.67 HrTire Type: TubelessDuring 3 Years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original
retail purchaser (3 years and 30000 KM for iQube 09), whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfaction
of the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹1,49,094",4.5,80 Ratings & 19 Reviews,80 Ratings & 19 Reviews,,,,Tubeless,,145 km,78 kmph,4.67 Hr,TVS,Motorcycle
"SUZUKI e-Access Booking for Ex-Showroom Price (with Portable Charger, Pearl Grace White / Metallic Mat...",Range: 95 kmMaximum Speed: 71 km/hrCharging Time: 6.2 HrTire Type: TubelessStandard Warranty for vehicle + battery for 3 years / 36000 Km ( whichever is earlier),"₹1,91,558",4.5,8 Ratings & 3 Reviews,8 Ratings & 3 Reviews,,,,TubelessStandard Warranty for vehicle + battery for 3 years / 36000 Km ( whichever is earlier),,95 km,71 km/hr,6.2 Hr,Suzuki,Motorcycle
"Simple OneS 3.7 kW Booking for Ex-Showroom Price (with Portable Charger, Brazen Black)","Range: 190 kmMaximum Speed: 90 kmphCharging Time: 4 HrTire Type: Tubeless* Standard Warranty: 3 years/30,000 km, whichever comes first. * Extended Warranty (Battery & Motor) Options:* - Simple Protect: 5 years/50,000 km (whichever comes first) for ?5499*. This offers reliable battery and motor protection for everyday riding confidence. - Simple Super Protect: 8 years/80,000 km (whichever comes first) for ?8499*. This provides maximum coverage for long-term ownership. * Pricing Note: All mentioned prices are exclusive of GST. Terms and conditions apply.","₹1,59,999",4.4,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"Tubeless* Standard Warranty: 3 years/30,000 km, whichever comes first. * Extended Warranty (Battery & Motor) Options:* - Simple Protect: 5 years/50,000 km (whichever comes first) for ?5499*. This offers reliable battery and motor protection for everyday riding confidence. - Simple Super Protect: 8 years/80,000 km (whichever comes first) for ?8499*. This provides maximum coverage for long-term ownership. * Pricing Note: All mentioned prices are exclusive of GST. Terms and conditions apply.",,190 km,90 kmph,4 Hr,Other,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹79,097",4.5,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,"Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Still Whi...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,761",4.5,"1,353 Ratings & 141 Reviews","1,353 Ratings & 141 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Revolt Motors RV BlazeX Booking for Ex-Showroom Price (With Charger, Sterling Silver Black)","Range: 150 kmMaximum Speed: 85 kmphCharging Time: 4.5 hrTire Type: TubelessStandard warranty shall be for 3 years or 40,000 kilometers (whichever occurs first) on Vehicle and 3 years or 40,000 kilometers (whichever occurs first) on Battery, from the date of purchase of vehicle. Remaining period / kilometers of warranty shall be treated as extended warranty and shall be provided by Revolts authorized service provider only, subject to subscription in Revolt Protect Plan. Customer can subscribe to Revolt Protect Plan at nominal subscription charge. Customer to contact authorized service provider to avail extended warranty.","₹1,27,990",4.5,6 Ratings & 1 Reviews,6 Ratings & 1 Reviews,,,,"TubelessStandard warranty shall be for 3 years or 40,000 kilometers (whichever occurs first) on Vehicle and 3 years or 40,000 kilometers (whichever occurs first) on Battery, from the date of purchase of vehicle. Remaining period / kilometers of warranty shall be treated as extended warranty and shall be provided by Revolts authorized service provider only, subject to subscription in Revolt Protect Plan. Customer can subscribe to Revolt Protect Plan at nominal subscription charge. Customer to contact authorized service provider to avail extended warranty.",,150 km,85 kmph,4.5 hr,Other,Motorcycle
TVS Ronin Base Booking for Ex-Showroom Price,"Maximum Power: 15.01 kW (20.4 PS) @ 7750 rpmEngine Capacity: 225.9 ccBrake Front: DiscTire Type: TubelessConsole Feature: The TVS Ronin fully digital console boasts features such as a, distance-to-empty, gear shift assist, rain and urban mode indicators!During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfaction of the Company to have a manufacturing defect will be repaired or replaced free of cost - this is only applicable for Domestic.","₹1,31,990",4.5,"1,692 Ratings & 205 Reviews","1,692 Ratings & 205 Reviews",15.01 kW (20.4 PS) @ 7750 rpm,225.9 cc,Disc,Tubeless,"The TVS Ronin fully digital console boasts features such as a, distance-to-empty, gear shift assist, rain and urban mode indicators!",,,,TVS,Motorcycle
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Deccan ...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,84,044",5,"6,142 Ratings & 628 Reviews","6,142 Ratings & 628 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
Hero HF Deluxe Non i3S-Self Booking for Ex-Showroom Price,"Maximum Power: 7.91Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubedConsole Feature: SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹64,923",1,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",7.91,97.2 cc,Drum,Tubed,"SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Ather 450 X 126 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 126 kmMaximum Speed: 90 kmphCharging Time: 4.3 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,76,470",4.5,23 Ratings & 2 Reviews,23 Ratings & 2 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,126 km,90 kmph,4.3 Hr,Ather,Motorcycle
"Ather Rizta Z 123KM IDC Range with Stack Pro Booking for Ex-Showroom Price (with Portable Charger, Car...","Range: 123 kmMaximum Speed: 80 kmphCharging Time: 7.45 HrsTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,62,503",5,9 Ratings & 0 Reviews,9 Ratings & 0 Reviews,,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,123 km,80 kmph,7.45 Hrs,Ather,Motorcycle
"Ather 450 S 122 KM IDC range Booking for Ex-Showroom Price (with Portable Charger, Cosmic Black)",Range: 122 kmMaximum Speed: 90 kmphCharging Time: 7.45 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,37,312",4,"1,692 Ratings & 205 Reviews","1,692 Ratings & 205 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,122 km,90 kmph,7.45 Hr,Ather,Motorcycle
